shipment_key,shipment_id,supplier_key,carrier_key,route_key,warehouse_key,product_key,order_date,promised_date,actual_date,status,delay_days,shipment_cost,weight_kg,quantity
1,SHP-00001,33,55,81,25,148,2024-02-25,2024-03-10,2024-03-10,Delivered,0,2052.15,4686.07,119
2,SHP-00002,152,15,28,26,3,2021-01-04,2021-01-14,2021-02-01,Delayed,18,7100.18,3396.57,533
3,SHP-00003,212,45,9,39,82,2024-01-08,2024-01-23,,Delivered,,11046.34,3007.41,682
4,SHP-00004,212,46,54,15,180,2022-09-25,2022-10-12,2022-10-12,Cancelled,0,4823.94, ,830
5,SHP-00005,122,23,194,26,101,2021-04-18,2021-05-13,2021-05-29,Delivered,16,14537.58,4955.32,346
6,SHP-00006,218,60,182,20,118,2021-05-28,2021-06-14,2021-06-13,Delivered,0,12101.42,1617.23,887
7,SHP-00007,174,51,38,25,244,2021-12-02,2021-12-21,2022-01-13,Delivered,23,17715.45,3256.26,877
8,SHP-00008,185,26,63,3,31,2023-05-25,2023-06-16,2023-06-16,Cancelled,0,1249.14,3250.56,994
9,SHP-00009,210,42,98,18,162,2022-05-09,2022-05-22,2022-05-20,Delivered,0,8320.64,3976.67,797
10,SHP-00010,191,7,152,12,99,2023-07-01,2023-07-13,2023-07-17,Cancelled,4,19995.68,2934.34,492
11,SHP-00011,143,53,138,34,126,2023-09-19,2023-10-10,2023-10-09,Delivered,0,15731.52,2687.65,
12,SHP-00012,143,29,81,8,11,2021-05-11,2021-05-28,2021-05-26,Delivered,0,4643.46,586.81,712
13,SHP-00013,242,43,1,16,77,2021-09-21,2021-10-10,2021-10-16,Delivered,6,866.62,2530.84,558
14,SHP-00014,54,45,26,3,61,2021-04-05,2021-04-22,2021-04-21,Cancelled,0,10840.7,4553.93,621
15,SHP-00015,167,58,42,26,117,2021-03-17,2021-03-24,2021-03-31,Returned,7,7963.53,3111.64,262
16,SHP-00016,166,53,131,39,42,2021-06-20,2021-06-29,2021-06-27,Delivered,0,16145.58,3484.08,382
17,SHP-00017,17,22,164,6,93,2023-05-10,2023-05-15,,Delayed,,21211.99,1350.77,701
18,SHP-00018,225,20,151,32,25,2022-11-15,2022-12-10,2022-12-18,Delivered,8,21316.14,525.19,180
19,SHP-00019,202,35,142,39,226,2023-12-20,2024-01-01,2023-12-31,Delivered,0,3839.37,1947.94,760
20,SHP-00020,250,24,182,16,174,2023-04-05,2023-04-21,2023-04-20,Returned,,14500.63,2837.89,941
21,SHP-00021,59,20,163,6,243,2024-05-31,2024-06-14,2024-06-14,In Transit,0,11098.82,2138.94,903
22,SHP-00022,207,56,3,28,174,2022-09-18,2022-10-02,2022-10-02,Delivered,0,20792.59,287.25,568
23,SHP-00023,137,48,89,16,190,2023-11-08,2023-12-02,2023-12-18,Returned,16,8979.82,4554.45,732
24,SHP-00024,91,4,109,32,98,2023-12-18,2024-01-09,2024-01-07,Delivered,0,19414.28,1125.5,860
25,SHP-00025,189,41,146,26,56,2021-12-16,2021-12-28,2021-12-27,Delivered,0,18732.02,1450.47,272
26,SHP-00026,48,26,91,1,26,2022-09-17,2022-10-08,2022-10-08, ,0,229.02,1491.89,359
27,SHP-00027,77,24,110,12,138,2023-06-02,2023-06-18,2023-07-05,Delivered,17,,3847.28,482
28,SHP-00028,11,9,102,27,191,2022-07-06,2022-07-10,2022-07-08,Delivered,0,,4417.9,114
29,SHP-00029,226,26,129,25,34,2022-11-10,2022-11-12,2022-11-19,Delivered,7,10810.59,3408.75,770
30,SHP-00030,112,31,75,19,125,2021-08-13,2021-08-17,2021-08-17,,0, ,4149.21,612
31,SHP-00031,51,31,181,7,180,2021-06-19,2021-07-14,2021-07-12,Returned,0,6256.94,1317.8,683
32,SHP-00032,52,6,14,25,105,2023-10-26,2023-11-15,2023-12-04,Delivered,19,,4952.0,
33,SHP-00033,183,27,64,21,230,2023-12-12,2023-12-22,2023-12-22,Delayed,0,11266.01,1521.59,288
